mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
84.8752133846283,0.6388120579227431,34.05487656593323,0.8233593012814967,rbf,0.01,1000.0,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 1000}",0.9623333333333334,0.9706666666666667,0.9643333333333334,0.964,0.9636666666666667,0.9650000000000001,0.0029135697844549506,2
816.4754002571106,14.25427351362987,114.32835478782654,3.616374838066377,rbf,1.0,10.0,"{'kernel': 'rbf', 'gamma': 1, 'C': 10}",0.179,0.18133333333333335,0.17966666666666667,0.18133333333333335,0.178,0.17986666666666667,0.001309792180292576,22
66.46649065017701,0.9886275052477536,29.662392568588256,0.44077243882668066,rbf,0.001,100.0,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 100}",0.9436666666666667,0.9466666666666667,0.9473333333333334,0.9446666666666667,0.9376666666666666,0.944,0.0034318767136623436,5
89.8437162399292,2.4044520160899556,35.73791289329529,0.7626361137592134,rbf,0.01,10.0,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 10}",0.9633333333333334,0.9713333333333334,0.9646666666666667,0.9653333333333334,0.9643333333333334,0.9658,0.0028409701003550072,1
444.2930821895599,7.464048892018526,109.50859751701356,9.887541224343677,rbf,0.001,0.1,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 0.1}",0.855,0.8543333333333333,0.8576666666666667,0.8526666666666667,0.858,0.8555333333333334,0.0020286832072937285,20
813.7887754440308,14.249432198182598,110.87647018432617,4.024998932669128,rbf,0.0001,0.1,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 0.1}",0.204,0.19866666666666666,0.20233333333333334,0.19933333333333333,0.19566666666666666,0.2,0.0029135697844549554,21
70.35155715942383,6.115440891000758,31.01587505340576,3.423439056742214,rbf,0.001,1000.0,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 1000}",0.9413333333333334,0.944,0.946,0.94,0.9346666666666666,0.9411999999999999,0.003873557079022378,6
80.62603855133057,3.3185374093009736,36.84375205039978,4.294106868747671,rbf,0.0001,100.0,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 100}",0.9286666666666666,0.9346666666666666,0.9326666666666666,0.9293333333333333,0.9243333333333333,0.9299333333333333,0.0035552777669262256,8
102.27595677375794,9.77694307340059,39.68282465934753,2.8635274213710793,rbf,0.01,1.0,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 1}",0.9553333333333334,0.962,0.9576666666666667,0.9526666666666667,0.9576666666666667,0.9570666666666666,0.0030796825233202793,4
60.71935114860535,1.057666997687549,16.98112258911133,0.6291061516637793,linear,,0.1,"{'kernel': 'linear', 'C': 0.1}",0.9283333333333333,0.9326666666666666,0.932,0.9266666666666666,0.9216666666666666,0.9282666666666668,0.003985529380702717,10
67.46696996688843,2.0353174217420635,17.247455835342407,1.015922905037168,linear,,1000.0,"{'kernel': 'linear', 'C': 1000}",0.904,0.9156666666666666,0.9113333333333333,0.903,0.8956666666666667,0.9059333333333333,0.006951898221988614,13
800.0388206481933,8.562525625744373,103.7678722858429,2.8026007956189627,rbf,0.1,10.0,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 10}",0.8923333333333333,0.905,0.886,0.901,0.893,0.8954666666666666,0.00673828200986309,16
874.0071659564971,9.395476151448369,113.56151933670044,3.579023081369569,rbf,1.0,0.1,"{'kernel': 'rbf', 'gamma': 1, 'C': 0.1}",0.11233333333333333,0.11233333333333333,0.11233333333333333,0.11233333333333333,0.11233333333333333,0.11233333333333333,0.0,25
185.41977500915527,9.0455378901712,63.92063336372375,5.054127706268079,rbf,0.001,1.0,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 1}",0.9156666666666666,0.922,0.9153333333333333,0.9153333333333333,0.9116666666666666,0.916,0.003339993346633453,11
806.8021301269531,18.038515527622337,94.95841393470764,5.300350125695535,rbf,0.1,1.0,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 1}",0.885,0.9013333333333333,0.8816666666666667,0.896,0.8843333333333333,0.8896666666666666,0.007621606713081487,19
95.89570851325989,4.858715859504213,40.77638416290283,2.439368121548392,rbf,0.01,100.0,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}",0.9623333333333334,0.9706666666666667,0.9643333333333334,0.964,0.9636666666666667,0.9650000000000001,0.0029135697844549506,2
66.10562343597412,4.213732888327392,16.80167899131775,1.1900063261324472,linear,,1.0,"{'kernel': 'linear', 'C': 1}",0.913,0.9203333333333333,0.9163333333333333,0.9093333333333333,0.906,0.9129999999999999,0.005046450898073478,12
65.52529349327088,1.8743476866550564,18.375407409667968,1.9820314822382576,linear,,10.0,"{'kernel': 'linear', 'C': 10}",0.904,0.9156666666666666,0.9113333333333333,0.903,0.8956666666666667,0.9059333333333333,0.006951898221988614,13
815.2191083908081,9.720944683364872,106.79675183296203,1.6226745408081162,rbf,1.0,1000.0,"{'kernel': 'rbf', 'gamma': 1, 'C': 1000}",0.179,0.18133333333333335,0.17966666666666667,0.18133333333333335,0.178,0.17986666666666667,0.001309792180292576,22
68.44847121238709,0.38043309778986684,17.249661207199097,1.4730992328063053,linear,,100.0,"{'kernel': 'linear', 'C': 100}",0.904,0.9156666666666666,0.9113333333333333,0.903,0.8956666666666667,0.9059333333333333,0.006951898221988614,13
